WEEKDAY,WEEK,MONTH,P_834,P_1159,P_1204,P_1209,P_1214,P_1219,P_1224,P_1229,P_1234,P_1239,P_1244,P_1249,P_1254,P_1259,CLOSE
6,2,1,16,7,5,7,5,-3,-9,-4,-10,-12,-14,-11,-9,-9,1
2,2,1,-30,-10,-10,-9,-9,-10,-11,-15,-16,-16,-20,-23,-20,-21,-1
3,2,1,2,-8,-6,-8,-5,-8,-10,-3,2,2,0,0,-1,1,-1
4,2,1,4,13,14,13,15,15,14,14,14,15,14,14,13,15,-1
5,2,1,5,9,9,9,8,6,5,5,6,8,7,8,6,5,-1
6,3,1,-14,-19,-24,-20,-20,-15,-14,-16,-17,-15,-16,-18,-18,-18,-1
3,3,1,24,30,32,33,32,30,31,30,31,32,33,34,35,34,-1
4,3,1,23,51,53,53,54,54,53,54,57,55,52,51,53,53,-1
5,3,1,3,1,0,1,2,2,3,2,3,4,4,2,2,3,-1
6,4,1,-19,-7,-8,-12,-11,-10,-7,-8,-7,-6,-6,-7,-7,-10,-1
2,4,1,14,2,2,0,6,5,8,8,7,9,8,8,2,6,1
3,4,1,11,-4,-4,-2,-1,0,-1,0,2,2,4,3,2,1,-1
4,4,1,-55,-52,-53,-55,-59,-58,-59,-54,-56,-57,-63,-62,-59,-65,-1
5,4,1,23,70,72,69,67,66,69,67,71,73,74,73,72,72,-1
6,5,1,-26,-85,-79,-80,-85,-92,-84,-68,-72,-71,-69,-77,-76,-79,-1
2,1,2,38,63,62,62,62,62,63,62,64,59,59,58,60,63,-1
3,1,2,44,69,68,68,67,63,63,63,65,67,67,66,64,65,-1
4,1,2,12,14,13,13,13,12,14,14,13,17,18,18,17,18,-1
5,1,2,11,29,30,30,33,33,33,33,33,33,33,35,33,33,1
6,1,2,17,23,20,20,20,22,19,19,18,19,18,17,15,14,1
2,2,2,17,14,12,12,13,15,14,14,15,16,16,14,10,11,1
3,2,2,-8,1,0,-1,-1,-1,-3,-4,-3,-2,-3,-4,-3,-2,-1
4,2,2,15,-7,-6,-6,-6,-6,-5,-4,-2,-2,-3,-7,-6,-6,1
5,2,2,13,-8,-9,-12,-6,-6,-3,-4,-4,-3,-4,-5,-5,-6,1
6,2,2,-7,4,4,3,3,0,1,2,4,3,2,3,2,1,1
3,3,2,12,1,3,2,2,-1,3,2,4,2,1,1,-1,-2,-1
4,3,2,-22,-14,-12,-9,-10,-10,-10,-9,-9,-11,-10,-12,-10,-11,1
5,3,2,-30,-33,-35,-35,-35,-30,-24,-22,-20,-22,-22,-22,-22,-23,1
6,3,2,10,-2,-3,-9,-7,-6,-3,-4,-7,-3,0,-1,-1,0,-1
2,4,2,-32,-13,-15,-14,-13,-13,-11,-8,-8,-7,-6,-7,-6,-7,-1
3,4,2,-35,-44,-36,-34,-30,-27,-22,-21,-20,-20,-24,-25,-25,-20,1
4,4,2,-7,30,28,31,36,35,37,39,44,44,45,43,43,45,0
5,4,2,-3,-89,-90,-83,-78,-75,-71,-72,-78,-72,-70,-72,-81,-77,-1
6,4,2,13,12,7,13,12,15,20,21,13,8,11,0,-4,-2,-1
2,1,3,61,86,86,85,81,82,86,88,90,92,94,93,92,93,-1
3,1,3,-1,-9,-5,-5,-1,-4,-4,-4,-2,2,-2,1,-2,-3,-1
4,1,3,-2,-20,-20,-21,-19,-10,-11,-12,-17,-15,-19,-25,-26,-25,-1
5,1,3,12,-45,-37,-48,-58,-52,-57,-47,-61,-53,-62,-75,-87,-96,1
6,1,3,28,24,13,25,26,38,40,41,42,45,43,46,39,46,1
2,2,3,-3,32,35,36,39,38,38,38,32,31,26,19,14,8,-1
3,2,3,44,73,80,80,80,77,77,77,78,80,81,80,81,80,-1
4,2,3,26,31,29,35,34,29,30,33,28,26,26,25,27,28,-1
5,2,3,19,44,49,48,46,46,45,43,42,43,43,43,44,41,-1
6,2,3,-15,-9,-10,-8,-7,-6,-7,-4,-4,-4,-4,-8,-5,-7,1
2,3,3,2,1,1,-1,0,0,0,1,1,2,3,4,5,6,1
3,3,3,5,3,5,7,6,6,4,4,1,-3,-4,-1,-3,-3,-1
4,3,3,-19,-21,-20,-20,-19,-16,-18,-17,-19,-18,-19,-18,-22,-20,1
5,3,3,-22,-26,-22,-23,-23,-19,-18,-17,-17,-15,-13,-15,-12,-12,-1
6,3,3,-9,8,4,3,5,5,7,7,8,8,8,11,11,9,-1
2,4,3,7,37,34,34,35,36,38,36,37,38,38,39,39,39,-1
3,4,3,-7,4,4,5,7,7,5,4,1,-2,-6,-5,-5,-7,-1
4,4,3,17,19,16,13,8,8,12,13,12,14,5,16,16,18,-1
5,4,3,-19,6,4,5,10,7,4,3,1,2,8,5,5,-1,1
6,4,3,16,28,30,33,31,31,32,31,29,25,23,18,22,23,1
2,5,3,-9,-1,3,2,2,1,-1,-3,7,1,-1,2,0,-3,1
3,5,3,-14,-19,-21,-22,-20,-19,-16,-16,-18,-15,-16,-17,-17,-18,1
4,5,3,10,28,29,30,31,30,29,30,31,30,28,28,29,29,-1
5,1,4,22,33,33,31,31,29,30,29,33,33,33,32,32,32,1
2,1,4,36,58,60,60,58,58,58,57,59,57,56,57,58,61,-1
3,1,4,-5,5,3,2,1,0,-2,-3,-1,2,2,2,4,3,-1
4,1,4,1,0,0,-1,1,0,-2,0,1,2,2,2,2,3,1
5,2,4,12,14,16,16,15,15,15,16,16,14,13,14,14,15,1
6,2,4,2,10,9,9,9,10,9,10,11,12,12,14,13,13,1
2,2,4,-3,2,2,1,0,-1,-3,-3,-4,-5,-7,-4,-6,-8,1
3,2,4,-2,0,1,1,3,4,3,3,4,4,6,5,5,5,1
